ensembl_gene_id	go_id
F36H2.3	GO:0016020
F36H2.3	GO:0005886
F36H2.3	GO:0016021
F36H2.3	GO:0005913
F36H2.3	GO:0016342
F36H2.3	GO:0005509
F36H2.3	GO:0070097
F36H2.3	GO:0008013
F36H2.3	GO:0042302
F36H2.3	GO:0040035
F36H2.3	GO:0001703
F36H2.3	GO:0040007
F36H2.3	GO:0002009
F36H2.3	GO:0042127
F36H2.3	GO:0040020
F36H2.3	GO:0008406
F36H2.3	GO:0007281
F36H2.3	GO:0005634
F36H2.3	GO:0003676
F36H2.3	GO:0006629
F36H2.3	GO:0016788
F36H2.3	GO:0004064
C04F12.9	GO:0003676
C04F12.9	GO:0004523
Y71F9AL.9	GO:0005515
Y71F9AL.9	GO:0008152
Y71F9AL.9	GO:0007271
Y71F9AL.9	GO:0040012
Y71F9AL.9	GO:0006581
Y71F9AL.9	GO:0001507
Y71F9AL.9	GO:0005623
Y71F9AL.9	GO:0004104
Y71F9AL.9	GO:0016787
Y71F9AL.9	GO:0003990
Y71F9AL.9	GO:0042803
C01H6.2	GO:0005515
T28B8.3	GO:0006351
T28B8.3	GO:0040010
T28B8.3	GO:0000003
T28B8.3	GO:0007413
T28B8.3	GO:0006898
T28B8.3	GO:0003677
T28B8.3	GO:0003899
T28B8.3	GO:0005488
T28B8.3	GO:0009792
T28B8.3	GO:0007126
T28B8.3	GO:0045132
T28B8.3	GO:0006974
T28B8.3	GO:0003723
F41D3.7	GO:0055114
F41D3.7	GO:0040010
F41D3.7	GO:0009792
F41D3.7	GO:0009790
F41D3.7	GO:0040007
F41D3.7	GO:0002119
F41D3.7	GO:0008340
F41D3.7	GO:0006898
F41D3.7	GO:0005739
F41D3.7	GO:0008137
F41D3.7	GO:0003723
F41D3.7	GO:0016651
F13G3.11	GO:0006412
F13G3.11	GO:0005634
F13G3.11	GO:0005840
F13G3.11	GO:0018024
F13G3.11	GO:0003735
T23B3.4	GO:0007186
T23B3.4	GO:0016021
T23B3.4	GO:0004930
F12B6.3	GO:0016998
F12B6.3	GO:0006811
F12B6.3	GO:0006810
F12B6.3	GO:0016021
F12B6.3	GO:0016020
F12B6.3	GO:0045211
F12B6.3	GO:0005230
B0205.9	GO:0006468
B0205.9	GO:0004672
B0205.9	GO:0005524
C01F4.2	GO:0055085
C01F4.2	GO:0007165
C01F4.2	GO:0016021
C01F4.2	GO:0005622
C01F4.2	GO:0008270
C01F4.2	GO:0016491
C01F4.2	GO:0003676
K04G2.7	GO:0016020
K04G2.7	GO:0016021
K04G2.7	GO:0015018
K04G2.7	GO:0003677
K04G2.7	GO:0009792
T03F1.3	GO:0016310
T03F1.3	GO:0006096
T03F1.3	GO:0016021
T03F1.3	GO:0004618
T03F1.3	GO:0005524
T03F1.3	GO:0040013
T03F1.3	GO:0040035
T03F1.3	GO:0000003
T03F1.3	GO:0040010
T03F1.3	GO:0002009
T03F1.3	GO:0040011
T03F1.3	GO:0009792
T03F1.3	GO:0006898
W05F2.7	GO:0045454
W05F2.7	GO:0009055
W05F2.7	GO:0015035
Y47G6A.32	GO:0055114
Y47G6A.32	GO:0003995
Y47G6A.32	GO:0016627
Y47G6A.32	GO:0016491
F45H11.2	GO:0040007
F45H11.2	GO:0002119
F45H11.2	GO:0040035
F45H11.2	GO:0000003
F45H11.2	GO:0009792
F45H11.2	GO:0005515
C37A5.8	GO:0006355
C37A5.8	GO:0043401
C37A5.8	GO:0005634
C37A5.8	GO:0003700
C37A5.8	GO:0003707
C37A5.8	GO:0008270
C37A5.8	GO:0043565
T23G11.1	GO:0003968
Y73E7A.3	GO:0006355
Y73E7A.3	GO:0005634
Y73E7A.3	GO:0000976
Y73E7A.3	GO:0003700
Y73E7A.3	GO:0043565
Y73E7A.3	
Y73E7A.3	GO:0008340
Y73E7A.3	GO:0018991
Y73E7A.3	GO:0040011
Y73E7A.3	GO:0009792
Y73E7A.3	GO:0007413
Y73E7A.3	GO:0071688
Y73E7A.3	GO:0016358
Y73E7A.3	GO:0042176
F28H1.2	GO:0005515
ZC308.1	GO:0006508
ZC308.1	GO:0004252
ZC308.1	GO:0009792
ZC308.1	GO:0000003
ZC308.1	GO:0016246
ZC308.1	GO:0000335
ZC308.1	GO:0045132
ZC308.1	GO:0048471
ZC308.1	GO:0016779
ZC308.1	GO:0040007
ZC308.1	GO:0002119
ZC308.1	GO:0040035
ZC308.1	GO:0010171
ZC308.1	GO:0002009
ZC308.1	GO:0040011
ZC308.1	GO:0046785
ZC308.1	GO:0000226
ZC308.1	GO:0016598
ZC308.1	GO:0005515
ZC308.1	GO:0004057
F33H2.2	GO:0006468
F33H2.2	GO:0004672
F33H2.2	GO:0005524
F33H2.2	GO:0004713
T04D3.5	GO:0006810
T04D3.5	GO:0009792
T04D3.5	GO:0005215
T04D3.5	GO:0008289
T04D3.5	GO:0006516
T04D3.5	GO:0005737
T04D3.5	GO:0016021
F52B5.5	GO:0001666
F52B5.5	GO:0006355
F52B5.5	GO:0006979
F52B5.5	GO:0008340
F52B5.5	GO:0042771
F52B5.5	GO:0045132
