ensembl_gene_id	entrezgene
Y26D4A.8	189548
K09H9.5	187241
W01A8.4	172438
F35E2.9	185291
T27F6.10	6418604
ZK993.2	191481
C49G9.1	183626
F46F11.6	172218
F56C11.2	171609
R06A10.4	171688
F46A8.8	185824
R05D7.2	187604
F15D3.1	173038
F15D3.1	13182183
K11B4.2	173350
C50F2.1	183673
R119.2	187899
W02D3.1	172393
M01E5.3	173193
K06A5.6	172351
C49A1.6	183588
Y105E8A.16	173309
Y71F9B.16	171833
T22E7.2	188748
F39B2.11	173340
C47F8.8	191728
C25A1.9	172886
Y37E3.4	171764
Y54E5A.6	173331
DY3.6	183975
C45E1.5	13179689
F13G3.6	184431
C06A5.6	172273
F55D12.4	192082
F54C1.6	186219
Y23H5B.7	171812
R12E2.3	172009
F10G8.4	184324
Y52B11A.9	173005
C47B2.7	173172
Y44E3A.3	189905
E03H4.10	173111
F26E4.8	172831
T09B4.8	172301
Y71A12B.2	173258
Y71A12B.2	173259
Y76G2A.1	172271
Y76G2A.1	172272
C04F12.3	172817
Y105E8A.24	173318
F32H2.7	172716
F36D1.14	13182079
F36D1.14	13182080
K02A11.1	172825
T28F2.6	189050
F59C6.18	13181858
Y51F10.4	245996
C41D11.8	172045
B0379.7	172871
R06C7.3	172464
C54G4.6	183813
C47F8.1	173107
W06D4.1	172726
F26B1.7	172331
F14B4.2	172751
Y20F4.4	245999
T27A3.5	188965
ZK265.3	191276
W09G3.2	173248
Y26D4A.5	189546
F56A3.5	172158
F27C1.1	172198
Y48G1A.1	190030
Y34D9A.6	171685
C32E8.10	171952
T06A4.1	171669
M01E5.5	266847
R09B3.5	173073
F27C1.8	172197
Y54E10BR.4	171874
W08E3.1	173204
Y95D11A.1	173000
K10D3.1	172449
F26E4.11	172833
T27F6.8	189005
Y71A12B.12	173263
Y71A12B.12	13182910
C36B1.4	172679
D1007.9	183888
C26C6.8	182936
Y52B11A.1	190181
E01A2.6	171997
F45H11.6	6418592
F56H6.9	186420
Y65B4BR.5	171646
T23G11.4	172531
F23C8.11	184893
C10G11.10	182507
C55B7.5	183841
Y54E10A.4	171895
T26E3.4	173136
T12F5.4	266825
Y48G1BL.6	190034
T10E9.3	172364
Y92H12BL.2	190785
H27M09.1	172413
C32F10.8	172252
K07G5.3	187121
F42H11.2	172792
T03F1.6	171961
F22D6.2	172441
W09C3.4	172081
Y39G10AR.6	189771
F30A10.1	172774
F55A12.4	172183
Y48G8AL.1	171700
F08A8.3	184167
M04F3.2	187447
Y40B1B.8	173212
Y106G6D.7	172878
D2030.8	172517
F20G4.2	172560
F21F3.1	172108
D1081.12	7040133
Y119C1A.1	191026
Y92H12BM.1	190788
F33E2.4	185234
B0205.2	181831
Y71F9AL.14	171856
F07A5.4	172490
Y71G12B.14	190601
T06G6.3	173139
K07A3.3	171817
Y106G6H.13	190929
B0261.9	13180201
T05E8.1	188128
F23C8.9	171803
B0207.8	181837
Y54E10BR.2	171878
T06D10.2	172730
F56G4.3	173025
F56G4.3	173026
Y51F10.11	3565247
DY3.1	172686
C54C8.6	183772
R12E2.11	172008
K07A1.13	172793
Y105E8B.2	173320
C50F2.8	183676
F39H2.4	172667
Y105E8A.8	173303
F28B3.7	172116
F16C3.2	172879
Y71G12B.31	3565511
Y47H9C.1	173061
E02D9.1	172405
F43G9.12	172662
T10B11.3	172422
ZC434.4	172902
C48E7.8	172323
D2030.6	172515
F37F2.2	171711
C44E4.1	172068
C44E4.1	172069
C44E4.1	183459
H31G24.1	186794
Y65B4BR.8	171645
F13G3.1	184429
F52F12.7	172846
Y18H1A.2	171662
K12C11.5	4926970
ZK1025.9	173033
ZK1025.9	182960
T02E1.7	187988
Y119C1B.5	172053
T19B4.2	172234
Y106G6H.1	172919
T23B3.3	188773
B0511.4	182017
F47G4.3	173272
Y47H10A.5	173091
Y73E7A.4	190666
K04F10.7	172335
F53G12.8	171604
F52F12.5	186128
T02E1.3	172604
F26B1.1	172332
Y47G6A.8	171917
T28B8.5	189033
F18C12.1	172593
F14B6.4	184446
F45H11.1	172909
C46H11.10	172132
C37A5.1	173285
F27D4.2	172536
W05B5.3	191732
Y87G2A.10	173229
F59A3.6	186576
F59A3.6	3565471
Y54E5A.2	173328
F47G4.7	173269
ZK1025.10	191496
ZK1025.10	191722
F36F2.7	3565464
T28B8.2	172600
C46H11.1	183521
C16C2.2	172823
F25F8.2	172103
T10E9.8	188385
Y87G2A.4	173223
Y106G6E.4	190922
Y48G1BM.6	190039
F39H11.5	172674
F57B10.12	172374
C53H9.2	171749
F37D6.2	172928
F36F2.5	172723
C06A5.4	182282
ZK1053.6	191510
T15D6.8	188534
F53B6.4	172709
T09E11.10	188338
R119.5	171631
ZK973.10	172037
D1007.18	3565784
C26C6.1	172504
F54C1.1	172126
F15H9.4	184551
K07G5.5	187123
ZC123.3	171670
T15D6.7	188533
K04G2.2	172585
F39B2.3	173346
Y47G6A.6	171920
Y105E8A.22	173314
Y47G6A.19	171921
Y6B3B.4	189368
F25H2.11	172944
F56H1.6	3565366
F21F3.6	172109
W04G5.5	189201
T23G11.2	172533
F25H5.4	172743
F28B3.4	3565539
F46A9.4	172773
K05C4.6	173338
Y44E3A.1	189904
H31B20.2	3565811
Y71F9AL.12	190588
F59A3.5	3565471
R12E2.10	172007
F33H2.3	173372
C47B2.5	173169
Y39G10AR.3	189769
D1081.2	172636
Y53C10A.5	173080
W02D3.4	189111
K10D3.3	172451
Y110A7A.8	172146
F26A3.2	184953
F55H12.4	186344
R06C7.9	172470
C09H6.1	172596
T22C1.10	172574
F40E3.7	7040167
C27A12.7	172283
F59A3.12	13180284
F49D11.8	172996
ZK265.5	172608
F28C12.1	185053
T21E12.5	188701
F28H1.1	171987
C34B2.6	172966
F26A3.1	172522
H26D21.1	171939
Y71A12C.2	190582
F33D11.4	172255
F16D3.6	184571
B0511.10	172959
M04F3.5	172093
F29D10.3	185119
F26E4.6	3565338
Y48G1C.6	171597
Y73E7A.5	190667
C01H6.3	182091
W03D8.1	189155
Y48G1C.1	171599
C35E7.2	172992
Y6B3B.9	173239
C15C6.4	173100
Y34D9A.8	189589
Y23H5A.2	171820
T05F1.3	172805
B0261.6	172166
W05F2.8	13179739
F36H2.6	13181407
D2030.5	172514
F56H6.7	186418
Y39G10AR.21	171790
M04C7.4	3565595
F36A2.11	185337
C43E11.10	172029
F30A10.11	3565926
ZC434.3	172903
ZC328.2	172339
Y39G10AR.10	171787
B0414.3	172242
F54A5.3	3565745
F53F10.2	171958
B0205.4	172980
T05F1.6	3565010
F54C1.9	172125
F22D6.4	184827
